timestamp,CPUUsage,RAMUsage,Temperature,DiskUsage,FanSpeed,CPU_Usage,Memory_Usage,Bandwidth,Task_Priority,Packet_Rate,RAM_Available_MB,Disk_Free_GB,Process_Count
2026-04-21 21:31:34,13.4,55.5,-1.0,34.7,-1,13.4,55.5,57.79,Low,10.0,7164.35,310.12,297
2026-04-21 21:31:36,6.3,55.4,-1.0,34.7,-1,6.3,55.4,32019.55,Low,5051.0,7171.04,310.11,297
2026-04-21 21:31:38,3.7,55.4,-1.0,34.7,-1,3.7,55.4,31851.62,Low,4990.0,7180.24,310.11,297
2026-04-21 21:31:40,4.5,55.3,-1.0,34.7,-1,4.5,55.3,30503.46,Low,4794.5,7185.86,310.1,297
2026-04-21 21:31:42,5.3,55.3,-1.0,34.7,-1,5.3,55.3,30168.58,Low,4528.0,7194.73,310.09,296
2026-04-21 21:31:44,5.2,55.3,-1.0,34.7,-1,5.2,55.3,31770.04,Low,5051.0,7194.05,310.09,296
